"id","company","facilities","createdby","createddate","modifiedby","modifieddate","facilityid","facilityname","facilitynotes","facilityphotourl","facilitystatus","facilitydestination","facilitytemplatetype"
11,"{""esID"":""ES-1579352234417"",""esSubcoID"":""SUBCO-157935223441714"",""esName"":""Bank Artha Graha Sudirman (KPNO)""}","[{""facilityDetailID"":""FACDET-1580364586043"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FATYPE-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""KENDARAAN OPERASIONAL"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-01-2020 11:41:42"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FATYPE-004-FACAT-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""MOTOR"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-01-2020 11:41:42"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1580364596440"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ATK"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""29-10-2019 09:39:03"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-003-FACCAT-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""PERSONAL COMPUTER"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""15-11-2019 09:42:39"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1580364611973"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ATK"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""29-10-2019 09:39:03"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-003-FACCAT-005"",""bizparStatus"":""ACTIVE"",""bizparValue"":""BINDEX"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""15-11-2019 09:42:39"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""18-11-2019 10:44:21""},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1580364624517"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ATK"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""29-10-2019 09:39:03"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-003-FACCAT-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""MEJA KERJA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""31-10-2019 08:03:59"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1580364638711"",""facilityDetailNotes"":"""",""facilityDetailQty"":3,""facilityType"":{""bizparKey"":""FACTYP-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SERAGAM"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 08:23:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-002-FACCAT-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SERAGAM TIGA STEL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 08:24:40"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1580364648551"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ID CARD"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 08:23:41"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-001-FACCAT-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ID CARD"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""05-11-2019 14:15:01"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}}]",EMP-205,2020-01-29 19:30:33,SYSTEM,2020-01-30 13:10:48,FAC-1580364059814,FACILITY EXECUTIVE OFFICER,"","",ACTIVE,,
9,"{""esID"":""ES-1579352234417"",""esSubcoID"":""SUBCO-157935223441714"",""esName"":""Bank Artha Graha Sudirman (KPNO)""}","[{""facilityDetailID"":""FACDET-1580364256279"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FATYPE-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""KENDARAAN OPERASIONAL"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-01-2020 11:41:42"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FATYPE-004-FACAT-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""MOBIL"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-01-2020 11:41:42"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1580364269255"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ATK"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""29-10-2019 09:39:03"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-003-FACCAT-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""PERSONAL COMPUTER"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""15-11-2019 09:42:39"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1580364437324"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ATK"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""29-10-2019 09:39:03"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-003-FACCAT-005"",""bizparStatus"":""ACTIVE"",""bizparValue"":""BINDEX"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""15-11-2019 09:42:39"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""18-11-2019 10:44:21""},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1580364450542"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ATK"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""29-10-2019 09:39:03"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-003-FACCAT-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""MEJA KERJA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""31-10-2019 08:03:59"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1580364466045"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ATK"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""29-10-2019 09:39:03"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-003-FACCAT-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LAPTOP"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""29-10-2019 09:39:03"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1580364480547"",""facilityDetailNotes"":"""",""facilityDetailQty"":2,""facilityType"":{""bizparKey"":""FACTYP-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SERAGAM"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 08:23:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-002-FACCAT-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SERAGAM DUA STEL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 08:24:26"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1580364496027"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ID CARD"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 08:23:41"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-001-FACCAT-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ID CARD"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""05-11-2019 14:15:01"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}}]",EMP-205,2020-01-29 19:30:33,SYSTEM,2020-01-30 13:08:16,FAC-1580364047164,FACILITY DIREKSI,"","",ACTIVE,,
13,"{""esID"":""ES-1579352234417"",""esSubcoID"":""SUBCO-157935223441714"",""esName"":""Bank Artha Graha Sudirman (KPNO)""}","[{""facilityDetailID"":""FACDET-1580364820775"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FATYPE-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""KENDARAAN OPERASIONAL"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-01-2020 11:41:42"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FATYPE-004-FACAT-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""MOTOR"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""23-01-2020 11:41:42"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1580364827857"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ATK"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""29-10-2019 09:39:03"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-003-FACCAT-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""PERSONAL COMPUTER"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""15-11-2019 09:42:39"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1580364841983"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ATK"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""29-10-2019 09:39:03"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-003-FACCAT-005"",""bizparStatus"":""ACTIVE"",""bizparValue"":""BINDEX"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""15-11-2019 09:42:39"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""18-11-2019 10:44:21""},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1580364852607"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ATK"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""29-10-2019 09:39:03"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-003-FACCAT-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""MEJA KERJA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""31-10-2019 08:03:59"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1580364868249"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ATK"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""29-10-2019 09:39:03"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-003-FACCAT-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LOKER KARYAWAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""31-10-2019 08:03:59"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1580364878395"",""facilityDetailNotes"":"""",""facilityDetailQty"":3,""facilityType"":{""bizparKey"":""FACTYP-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SERAGAM"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 08:23:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-002-FACCAT-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SERAGAM TIGA STEL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 08:24:40"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}},{""facilityDetailID"":""FACDET-1580364892453"",""facilityDetailNotes"":"""",""facilityDetailQty"":1,""facilityType"":{""bizparKey"":""FACTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ID CARD"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-08-2019 08:23:41"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_TYPE""},""facilitycategory"":{""bizparKey"":""FACTYP-001-FACCAT-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""ID CARD"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""05-11-2019 14:15:01"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""FACILITY_CATEGORY""}}]",EMP-205,2020-01-29 19:30:33,SYSTEM,2020-01-30 13:14:52,FAC-1580364076974,FACILITY STAFF,"","",ACTIVE,,
